Perdix perdix
Coturnix coturnix
Phasianus colchicus
Branta bernicla
Branta bernicla nigricans
Branta bernicla bernicla
Branta bernicla hrota
Branta ruficollis
Branta canadensis
Branta leucopsis
Anser indicus
Anser anser
Anser fabalis
Anser brachyrhynchus
Anser serrirostris
Anser albifrons
Anser erythropus
Cygnus atratus
Cygnus olor
Cygnus columbianus
Cygnus cygnus
Alopochen aegyptiaca
Tadorna tadorna
Tadorna ferruginea
Aix galericulata
Spatula querquedula
Spatula clypeata
Mareca strepera
Mareca penelope
Anas platyrhynchos
Anas acuta
Anas crecca
Anas carolinensis
Netta rufina
Aythya ferina
Aythya fuligula
Aythya marila
Somateria spectabilis
Somateria mollissima
Melanitta fusca
Melanitta nigra
Clangula hyemalis
Bucephala clangula
Mergellus albellus
Mergus merganser
Mergus serrator
Caprimulgus europaeus
Apus apus
Cuculus canorus
Columba livia
Columba oenas
Columba palumbus
Streptopelia turtur
Streptopelia decaocto
Rallus aquaticus
Crex crex
Porzana porzana
Gallinula chloropus
Fulica atra
Grus grus
Tachybaptus ruficollis
Podiceps grisegena
Podiceps cristatus
Podiceps auritus
Podiceps nigricollis
Haematopus ostralegus
Recurvirostra avosetta
Vanellus vanellus
Pluvialis apricaria
Pluvialis squatarola
Charadrius hiaticula
Charadrius dubius
Charadrius alexandrinus
Charadrius morinellus
Numenius phaeopus
Numenius arquata
Limosa lapponica
Limosa limosa
Arenaria interpres
Calidris canutus
Calidris pugnax
Calidris falcinellus
Calidris ferruginea
Calidris temminckii
Calidris alba
Calidris alpina
Calidris maritima
Calidris minuta
Calidris melanotos
Scolopax rusticola
Lymnocryptes minimus
Gallinago media
Gallinago gallinago
Phalaropus lobatus
Phalaropus fulicarius
Actitis hypoleucos
Tringa ochropus
Tringa totanus
Tringa stagnatilis
Tringa glareola
Tringa erythropus
Tringa nebularia
Rissa tridactyla
Xema sabini
Chroicocephalus ridibundus
Hydrocoloeus minutus
Ichthyaetus melanocephalus
Larus canus
Larus marinus
Larus hyperboreus
Larus glaucoides
Larus argentatus
Larus cachinnans
Larus michahellis
Larus fuscus
Gelochelidon nilotica
Hydroprogne caspia
Thalasseus sandvicensis
Sternula albifrons
Sterna hirundo
Sterna paradisaea
Chlidonias leucopterus
Chlidonias niger
Stercorarius skua
Stercorarius pomarinus
Stercorarius parasiticus
Stercorarius longicaudus
Alle alle
Uria aalge
Alca torda
Cepphus grylle
Fratercula arctica
Gavia stellata
Gavia arctica
Gavia immer
Gavia adamsii
Hydrobates pelagicus
Oceanodroma leucorhoa
Fulmarus glacialis
Ardenna grisea
Puffinus puffinus
Ciconia nigra
Ciconia ciconia
Morus bassanus
Phalacrocorax carbo
Platalea leucorodia
Botaurus stellaris
Ardea cinerea
Ardea alba
Egretta garzetta
Pandion haliaetus
Pernis apivorus
Clanga pomarina
Aquila chrysaetos
Accipiter nisus
Accipiter gentilis
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Milvus milvus
Milvus migrans
Haliaeetus albicilla
Buteo lagopus
Buteo buteo
Tyto alba
Bubo bubo
Strix aluco
Athene noctua
Aegolius funereus
Asio otus
Asio flammeus
Upupa epops
Alcedo atthis
Merops apiaster
Jynx torquilla
Dryobates minor
Dendrocopos major
Dryocopus martius
Picus viridis
Falco tinnunculus
Falco vespertinus
Falco columbarius
Falco subbuteo
Falco peregrinus
Lanius collurio
Lanius excubitor
Oriolus oriolus
Garrulus glandarius
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Corvus frugilegus
Corvus corone
Corvus cornix
Corvus corax
Bombycilla garrulus
Periparus ater
Lophophanes cristatus
Poecile palustris
Poecile montanus
Cyanistes caeruleus
Parus major
Remiz pendulinus
Panurus biarmicus
Lullula arborea
Alauda arvensis
Galerida cristata
Eremophila alpestris
Riparia riparia
Hirundo rustica
Delichon urbicum
Cecropis daurica
Aegithalos caudatus
Phylloscopus sibilatrix
Phylloscopus inornatus
Phylloscopus proregulus
Phylloscopus trochilus
Phylloscopus collybita
Phylloscopus trochiloides
Acrocephalus arundinaceus
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Acrocephalus palustris
Hippolais icterina
Locustella naevia
Locustella fluviatilis
Locustella luscinioides
Sylvia atricapilla
Sylvia borin
Sylvia nisoria
Sylvia curruca
Sylvia communis
Regulus ignicapilla
Regulus regulus
Troglodytes troglodytes
Sitta europaea
Certhia familiaris
Certhia brachydactyla
Pastor roseus
Sturnus vulgaris
Turdus torquatus
Turdus merula
Turdus pilaris
Turdus iliacus
Turdus philomelos
Turdus viscivorus
Muscicapa striata
Erithacus rubecula
Luscinia svecica
Luscinia luscinia
Luscinia megarhynchos
Ficedula hypoleuca
Ficedula albicollis
Ficedula parva
Phoenicurus ochruros
Phoenicurus phoenicurus
Saxicola rubetra
Saxicola rubicola
Oenanthe oenanthe
Cinclus cinclus
Passer domesticus
Passer montanus
Prunella modularis
Motacilla flava
Motacilla cinerea
Motacilla alba
Anthus richardi
Anthus campestris
Anthus pratensis
Anthus trivialis
Anthus cervinus
Anthus spinoletta
Anthus petrosus
Fringilla coelebs
Fringilla montifringilla
Coccothraustes coccothraustes
Pyrrhula pyrrhula
Carpodacus erythrinus
Chloris chloris
Linaria flavirostris
Linaria cannabina
Acanthis flammea
Acanthis cabaret
Acanthis hornemanni
Loxia pytyopsittacus
Loxia curvirostra
Loxia leucoptera
Carduelis carduelis
Serinus serinus
Spinus spinus
Calcarius lapponicus
Plectrophenax nivalis
Emberiza calandra
Emberiza citrinella
Emberiza hortulana
Emberiza schoeniclus
Lyrurus tetrix
Sibirionetta formosa
Spatula discors
Mareca americana
Aythya nyroca
Aythya collaris
Aythya affinis
Polysticta stelleri
Melanitta perspicillata
Melanitta deglandi
Melanitta stejnegeri
Melanitta americana
Oxyura jamaicensis
Caprimulgus aegyptius
Hirundapus caudacutus
